source_page,published_date,title,url
9,2022-09-21,岡田有章美術監督／メカニカルデザイナー ②SFファンとして夢中になった『STEINS;GATE』,https://febri.jp/febri_talk/okada_tomoaki_2/
9,2022-09-23,岡田有章美術監督／メカニカルデザイナー ③いろいろな夢がかなった『クロムクロ』,https://febri.jp/febri_talk/okada_tomoaki_3/
9,2022-09-26,石田祐康アニメーション監督／アニメーター ①超絶メカアクションに圧倒された 『交響詩篇エウレカセブン』,https://febri.jp/febri_talk/ishidahiroyasu1/
9,2022-09-28,石田祐康アニメーション監督／アニメーター ②純粋にキャラクターに愛着を持つことができた 『SAMURAI 7』,https://febri.jp/febri_talk/ishidahiroyasu2/
9,2022-09-30,石田祐康アニメーション監督／アニメーター ③憧れと同時に焦りも感じた『機動戦士ガンダム 逆襲のシャア』,https://febri.jp/febri_talk/ishidahiroyasu3/
10,2022-08-22,イムガヒアニメーション監督 ①アニメの原体験『ライオン・キング』,https://febri.jp/febri_talk/lim_kahee_1/
10,2022-08-24,イムガヒアニメーション監督 ②小さき者たちの物語『絶対無敵ライジンオー』,https://febri.jp/febri_talk/lim_kahee_2/
10,2022-08-26,イムガヒアニメーション監督 ③演出家としての原点『アイカツ！』シリーズ,https://febri.jp/febri_talk/lim_kahee_3/
10,2022-08-29,小山恭正音響効果技師 ①音作りにもっとも時間をかけた『ガールズ&パンツァー』シリーズ,https://febri.jp/febri_talk/koyama-yasumasa-1/
10,2022-08-31,小山恭正音響効果技師 ②劇場版ならではの音作りに手応え『劇場版 PSYCHO-PASS サイコパス』,https://febri.jp/febri_talk/koyama-yasumasa-2/
10,2022-09-02,小山恭正音響効果技師 ③「夢は叶うもの」と実感した『ジョジョの奇妙な冒険』シリーズ,https://febri.jp/febri_talk/koyama-yasumasa-3/
10,2022-09-05,岸誠二アニメーション監督 ①若いスタッフが「祭」状態で作った『瀬戸の花嫁』,https://febri.jp/febri_talk/kishi_seiji_1/
10,2022-09-07,岸誠二アニメーション監督 ②数字を叩き出す覚悟で挑んだ『Angel Beats!』,https://febri.jp/febri_talk/kishi_seiji_2/
